sample	group	bam
CAM016046	all	bams/CAM016046.lativitta.Herato0204.rmd.bam
CAM016048	all	bams/CAM016048.lativitta.Herato0204.rmd.bam
CAM016525	all	bams/CAM016525.lativitta.Herato0204.rmd.bam
CAM016553	all	bams/CAM016553.lativitta.Herato0204.rmd.bam
CAM016554	all	bams/CAM016554.lativitta.Herato0204.rmd.bam
CAM016555	all	bams/CAM016555.lativitta.Herato0204.rmd.bam
CAM016556	all	bams/CAM016556.lativitta.Herato0204.rmd.bam
CAM016558	all	bams/CAM016558.lativitta.Herato0204.rmd.bam
CAM016561	all	bams/CAM016561.lativitta.Herato0204.rmd.bam
CAM016563	all	bams/CAM016563.lativitta.Herato0204.rmd.bam
CAM016565	all	bams/CAM016565.lativitta.Herato0204.rmd.bam
CAM016702	all	bams/CAM016702.lativitta.Herato0204.rmd.bam
CAM016703	all	bams/CAM016703.lativitta.Herato0204.rmd.bam
CAM016704	all	bams/CAM016704.lativitta.Herato0204.rmd.bam
CAM016705	all	bams/CAM016705.lativitta.Herato0204.rmd.bam
CAM016706	all	bams/CAM016706.lativitta.Herato0204.rmd.bam
CAM016707	all	bams/CAM016707.lativitta.Herato0204.rmd.bam
CAM016709	all	bams/CAM016709.lativitta.Herato0204.rmd.bam
CAM016710	all	bams/CAM016710.lativitta.Herato0204.rmd.bam
CAM016712	all	bams/CAM016712.lativitta.Herato0204.rmd.bam
CAM016713	all	bams/CAM016713.lativitta.Herato0204.rmd.bam
CAM016872	all	bams/CAM016872.lativitta.Herato0204.rmd.bam
CAM016873	all	bams/CAM016873.lativitta.Herato0204.rmd.bam
CAM016875	all	bams/CAM016875.lativitta.Herato0204.rmd.bam
CAM016876	all	bams/CAM016876.lativitta.Herato0204.rmd.bam
CAM016877	all	bams/CAM016877.lativitta.Herato0204.rmd.bam
CAM016881	all	bams/CAM016881.lativitta.Herato0204.rmd.bam
CAM016882	all	bams/CAM016882.lativitta.Herato0204.rmd.bam
CAM016883	all	bams/CAM016883.lativitta.Herato0204.rmd.bam
CAM017395	all	bams/CAM017395.lativitta.Herato0204.rmd.bam
CAM017396	all	bams/CAM017396.lativitta.Herato0204.rmd.bam
CAM017397	all	bams/CAM017397.lativitta.Herato0204.rmd.bam
CAM017399	all	bams/CAM017399.lativitta.Herato0204.rmd.bam
CAM017413	all	bams/CAM017413.lativitta.Herato0204.rmd.bam
CAM017414	all	bams/CAM017414.lativitta.Herato0204.rmd.bam
CAM017415	all	bams/CAM017415.lativitta.Herato0204.rmd.bam
CAM017416	all	bams/CAM017416.lativitta.Herato0204.rmd.bam
